algo,lam,run,objective,risk,return
MSSBOA,0.05,3,-9.6326029855e-03,4.1609602896e-03,1.0358580000e-02
MSSBOA,0.05,4,-9.5618796326e-03,4.1660073481e-03,1.0284400000e-02
MSSBOA,0.10,0,-8.9066259710e-03,4.1609602895e-03,1.0358580000e-02
MSSBOA,0.10,1,-8.8933973938e-03,4.1458260615e-03,1.0342200000e-02
MSSBOA,0.00,0,-1.0358580000e-02,4.1609602896e-03,1.0358580000e-02
MSSBOA,0.00,1,-1.0358580000e-02,4.1609602896e-03,1.0358580000e-02
MSSBOA,0.00,2,-1.0358580000e-02,4.1609602896e-03,1.0358580000e-02
MSSBOA,0.00,3,-1.0355460000e-02,4.1616454597e-03,1.0355460000e-02
MSSBOA,0.00,4,-1.0333850000e-02,4.1787837646e-03,1.0333850000e-02
MSSBOA,0.05,0,-9.6099535215e-03,4.1668795706e-03,1.0335050000e-02
MSSBOA,0.05,1,-9.5438623220e-03,4.1324835594e-03,1.0263670000e-02
MSSBOA,0.05,2,-9.6326029855e-03,4.1609602896e-03,1.0358580000e-02
MSSBOA,0.10,2,-8.9066259710e-03,4.1609602896e-03,1.0358580000e-02
MSSBOA,0.10,3,-8.9037494540e-03,4.1616454597e-03,1.0355460000e-02
MSSBOA,0.10,4,-8.9066259710e-03,4.1609602896e-03,1.0358580000e-02
MSSBOA,0.15,0,-8.1657635386e-03,4.1545130762e-03,1.0339930000e-02
MSSBOA,0.15,1,-8.1738111874e-03,4.1417754170e-03,1.0347150000e-02
MSSBOA,0.15,2,-8.1732511895e-03,4.1332120699e-03,1.0344980000e-02
MSSBOA,0.15,3,-8.1747547574e-03,4.1634171403e-03,1.0352079210e-02
MSSBOA,0.15,4,-8.1755172615e-03,4.1547682564e-03,1.0351450000e-02
MSSBOA,0.20,0,-7.4547031563e-03,4.1597642184e-03,1.0358320000e-02
MSSBOA,0.20,1,-7.4547031563e-03,4.1597642184e-03,1.0358320000e-02
MSSBOA,0.20,2,-7.4547031563e-03,4.1597642184e-03,1.0358320000e-02
MSSBOA,0.20,3,-7.4547031563e-03,4.1597642184e-03,1.0358320000e-02
MSSBOA,0.20,4,-7.4547031563e-03,4.1597642184e-03,1.0358320000e-02
MSSBOA,0.25,0,-6.7287989454e-03,4.1597642183e-03,1.0358320000e-02
MSSBOA,0.25,1,-6.7261836351e-03,4.1616454597e-03,1.0355460000e-02
MSSBOA,0.25,2,-6.7261836351e-03,4.1616454597e-03,1.0355460000e-02
MSSBOA,0.25,3,-6.7286949276e-03,4.1609602896e-03,1.0358580000e-02
MSSBOA,0.25,4,-6.7286949276e-03,4.1609602896e-03,1.0358580000e-02
MSSBOA,0.30,0,-6.0033292036e-03,4.1401393213e-03,1.0350530000e-02
MSSBOA,0.30,1,-6.0033292036e-03,4.1401393213e-03,1.0350530000e-02
MSSBOA,0.30,2,-6.0033292036e-03,4.1401393213e-03,1.0350530000e-02
MSSBOA,0.30,3,-6.0025820304e-03,4.1575165654e-03,1.0356910000e-02
MSSBOA,0.30,4,-6.0033292032e-03,4.1401393200e-03,1.0350529999e-02
MSSBOA,0.35,0,-5.2694516910e-03,4.1632151687e-03,1.0348580000e-02
MSSBOA,0.35,1,-5.2787957337e-03,4.1401392995e-03,1.0350529982e-02
MSSBOA,0.35,2,-5.2665945701e-03,4.1659183713e-03,1.0345640000e-02
MSSBOA,0.35,3,-5.2787957375e-03,4.1401393213e-03,1.0350530000e-02
MSSBOA,0.35,4,-5.2787957375e-03,4.1401393213e-03,1.0350530000e-02
MSSBOA,0.40,0,-4.5667319846e-03,3.6158304120e-03,1.0021773582e-02
MSSBOA,0.40,1,-4.5695966924e-03,3.6221077993e-03,1.0030733020e-02
MSSBOA,0.40,2,-4.5696505161e-03,3.6223380793e-03,1.0030976246e-02
MSSBOA,0.40,3,-4.5622880681e-03,3.6298715639e-03,1.0023727823e-02
MSSBOA,0.40,4,-4.5696681293e-03,3.6223389135e-03,1.0031006158e-02
MSSBOA,0.45,0,-3.9091258034e-03,3.1195451192e-03,9.6598565582e-03
MSSBOA,0.45,1,-3.9097880256e-03,3.1103168331e-03,9.6535101827e-03
MSSBOA,0.45,2,-3.9099212968e-03,3.1120041131e-03,9.6551329958e-03
MSSBOA,0.45,3,-3.9075650085e-03,3.1140247169e-03,9.6525020565e-03
MSSBOA,0.45,4,-3.9101299916e-03,3.1126230474e-03,9.6560188416e-03
MSSBOA,0.50,0,-3.3033406686e-03,2.4591953470e-03,9.0658766841e-03
MSSBOA,0.50,1,-3.3035398090e-03,2.4599655122e-03,9.0670451301e-03
MSSBOA,0.50,2,-3.3039391029e-03,2.4600677261e-03,9.0679459318e-03
MSSBOA,0.50,3,-3.3038641888e-03,2.4599398029e-03,9.0676681804e-03
MSSBOA,0.50,4,-3.3032779719e-03,2.4589697198e-03,9.0655256636e-03
MSSBOA,0.55,0,-2.7512716475e-03,2.0157416553e-03,8.5776212398e-03
MSSBOA,0.55,1,-2.7498660009e-03,2.0147555369e-03,8.5732923248e-03
MSSBOA,0.55,2,-2.7493415175e-03,2.0146870387e-03,8.5720430863e-03
MSSBOA,0.55,3,-2.7439599409e-03,2.0075726793e-03,8.5513886988e-03
MSSBOA,0.55,4,-2.7517515842e-03,2.0167195769e-03,8.5798830033e-03
MSSBOA,0.60,0,-2.2392966486e-03,1.7106062223e-03,8.1641509551e-03
MSSBOA,0.60,1,-2.2400617233e-03,1.7128229781e-03,8.1693887755e-03
MSSBOA,0.60,2,-2.2389295897e-03,1.7093759834e-03,8.1613879492e-03
MSSBOA,0.60,3,-2.2270388181e-03,1.6906837472e-03,8.1036226660e-03
MSSBOA,0.60,4,-2.2387735427e-03,1.7052634773e-03,8.1548290728e-03
MSSBOA,0.65,0,-1.7624762204e-03,1.4352538754e-03,7.7011178270e-03
MSSBOA,0.65,1,-1.7649077202e-03,1.4347806901e-03,7.7071861963e-03
MSSBOA,0.65,2,-1.7649689790e-03,1.4347111323e-03,7.7072320427e-03
MSSBOA,0.65,3,-1.7653465049e-03,1.4348003773e-03,7.7084764291e-03
MSSBOA,0.65,4,-1.7651142319e-03,1.4347596615e-03,7.7077371766e-03
MSSBOA,0.70,0,-1.3216230465e-03,1.2547845776e-03,7.3332408359e-03
MSSBOA,0.70,1,-1.3211888718e-03,1.2530386514e-03,7.3277197593e-03
MSSBOA,0.70,2,-1.3209141907e-03,1.2536151462e-03,7.3281493101e-03
MSSBOA,0.70,3,-1.3219552778e-03,1.2534423587e-03,7.3312164296e-03
MSSBOA,0.70,4,-1.3224134665e-03,1.2545947788e-03,7.3354327057e-03
MSSBOA,0.75,0,-9.0349970983e-04,1.1268851084e-03,6.9946541644e-03
MSSBOA,0.75,1,-9.0296896850e-04,1.1247809112e-03,6.9862186075e-03
MSSBOA,0.75,2,-9.0440826934e-04,1.1278020972e-03,7.0010393688e-03
MSSBOA,0.75,3,-9.0438246186e-04,1.1277746053e-03,7.0008536634e-03
MSSBOA,0.75,4,-9.0297681222e-04,1.1258152498e-03,6.9893529983e-03
MSSBOA,0.80,0,-5.0143516402e-04,9.8640722255e-04,6.4528047103e-03
MSSBOA,0.80,1,-5.0919718592e-04,9.9274936789e-04,6.5169834011e-03
MSSBOA,0.80,2,-5.0858763138e-04,9.9224583740e-04,6.5119215065e-03
MSSBOA,0.80,3,-5.0912430609e-04,9.9203193262e-04,6.5137492609e-03
MSSBOA,0.80,4,-5.0931792762e-04,9.9730718517e-04,6.5358183788e-03
MSSBOA,0.85,0,-1.5305791656e-04,8.4407434211e-04,5.8034740490e-03
MSSBOA,0.85,1,-1.5214616448e-04,8.4575789106e-04,5.8069358125e-03
MSSBOA,0.85,2,-1.5292918337e-04,8.4550667441e-04,5.8107323775e-03
MSSBOA,0.85,3,-1.5291428162e-04,8.4649487567e-04,5.8162328396e-03
MSSBOA,0.85,4,-1.5341109697e-04,8.4608230796e-04,5.8172070582e-03
MSSBOA,0.90,0,-2.4451840364e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.90,1,-2.4451840364e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.90,2,-2.4451840364e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.90,3,-2.4451840364e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.90,4,-2.4451840364e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.95,0,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.95,1,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.95,2,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.95,3,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,0.95,4,-7.1024981623e-06,1.0246844040e-05,3.3674000000e-04
MSSBOA,1.00,0,1.0246844040e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,1.00,1,1.0246844040e-05,1.0246844040e-05,3.3674000000e-04
MSSBOA,1.00,2,1.0246844040e-05,1.0246844040e-05,3.3674000000e-04
