dataset,method,run,sse,silhouette
mall,KMeans,0,4.4448455448e+04,0.553932
mall,KMeans++,0,4.4448455448e+04,0.553932
mall,KMeans,1,4.4448455448e+04,0.553932
mall,KMeans++,1,4.4448455448e+04,0.553932
mall,KMeans,2,4.4448455448e+04,0.553932
mall,KMeans++,2,4.4448455448e+04,0.553932
mall,KMeans,3,4.4448455448e+04,0.553932
mall,KMeans++,3,4.4454476480e+04,0.553218
mall,KMeans,4,8.9897461445e+04,0.348202
mall,KMeans++,4,6.6674360005e+04,0.459385
mall,KMeans,5,4.4448455448e+04,0.553932
mall,KMeans++,5,4.4454476480e+04,0.553218
mall,KMeans,6,4.4454476480e+04,0.553218
mall,KMeans++,6,4.4448455448e+04,0.553932
mall,KMeans,7,6.7818533141e+04,0.473979
mall,KMeans++,7,4.4448455448e+04,0.553932
mall,KMeans,8,7.5582660714e+04,0.406739
mall,KMeans++,8,4.4448455448e+04,0.553932
mall,KMeans,9,4.4454476480e+04,0.553218
mall,KMeans++,9,4.4448455448e+04,0.553932
mall,KMeans,10,4.4448455448e+04,0.553932
mall,KMeans++,10,4.4448455448e+04,0.553932
mall,KMeans,11,4.4448455448e+04,0.553932
mall,KMeans++,11,4.4448455448e+04,0.553932
mall,KMeans,12,7.0096439534e+04,0.414054
mall,KMeans++,12,6.6532582649e+04,0.464175
mall,KMeans,13,9.1761976192e+04,0.360268
mall,KMeans++,13,4.4448455448e+04,0.553932
mall,KMeans,14,6.6733438571e+04,0.462258
mall,KMeans++,14,4.4448455448e+04,0.553932
mall,KMeans,15,4.4454476480e+04,0.553218
mall,KMeans++,15,4.4454476480e+04,0.553218
mall,KMeans,16,4.4454476480e+04,0.553218
mall,KMeans++,16,4.4448455448e+04,0.553932
mall,KMeans,17,4.4454476480e+04,0.553218
mall,KMeans++,17,6.6465148102e+04,0.463734
mall,KMeans,18,6.6531978247e+04,0.460715
mall,KMeans++,18,6.6532582649e+04,0.464175
mall,KMeans,19,4.4454476480e+04,0.553218
mall,KMeans++,19,4.4448455448e+04,0.553932
mall,KMeans,20,6.6698054719e+04,0.462384
mall,KMeans++,20,4.4454476480e+04,0.553218
mall,KMeans,21,4.4454476480e+04,0.553218
mall,KMeans++,21,4.4448455448e+04,0.553932
mall,KMeans,22,4.4454476480e+04,0.553218
mall,KMeans++,22,4.4454476480e+04,0.553218
mall,KMeans,23,6.7789296446e+04,0.480011
mall,KMeans++,23,4.4448455448e+04,0.553932
mall,KMeans,24,6.6790255615e+04,0.470121
mall,KMeans++,24,4.4448455448e+04,0.553932
mall,KMeans,25,4.4448455448e+04,0.553932
mall,KMeans++,25,4.4448455448e+04,0.553932
mall,KMeans,26,7.5036485446e+04,0.401263
mall,KMeans++,26,4.4454476480e+04,0.553218
mall,KMeans,27,6.6674360005e+04,0.459385
mall,KMeans++,27,6.6733438571e+04,0.462258
mall,KMeans,28,4.4448455448e+04,0.553932
mall,KMeans++,28,4.4454476480e+04,0.553218
mall,KMeans,29,4.4448455448e+04,0.553932
mall,KMeans++,29,4.4448455448e+04,0.553932
wholesale,KMeans,0,5.2125096861e+02,0.258789
wholesale,KMeans++,0,5.2150698546e+02,0.267564
wholesale,KMeans,1,5.3001817333e+02,0.195705
wholesale,KMeans++,1,5.2125096861e+02,0.258789
wholesale,KMeans,2,5.2938085509e+02,0.203129
wholesale,KMeans++,2,5.2150698546e+02,0.267564
wholesale,KMeans,3,5.2133786977e+02,0.264849
wholesale,KMeans++,3,5.3526749385e+02,0.298185
wholesale,KMeans,4,5.2833074989e+02,0.212290
wholesale,KMeans++,4,5.2938085509e+02,0.203129
wholesale,KMeans,5,5.3526995120e+02,0.297984
wholesale,KMeans++,5,5.2833074989e+02,0.212290
wholesale,KMeans,6,5.2899533009e+02,0.195760
wholesale,KMeans++,6,5.2133786977e+02,0.264849
wholesale,KMeans,7,5.2914183416e+02,0.197247
wholesale,KMeans++,7,5.2892184328e+02,0.197436
wholesale,KMeans,8,5.2938085509e+02,0.203129
wholesale,KMeans++,8,5.2893031528e+02,0.196156
wholesale,KMeans,9,5.2133582534e+02,0.264115
wholesale,KMeans++,9,5.2127368346e+02,0.258115
wholesale,KMeans,10,5.3526749385e+02,0.298185
wholesale,KMeans++,10,5.2895561464e+02,0.197119
wholesale,KMeans,11,5.3528482607e+02,0.300943
wholesale,KMeans++,11,5.2133786977e+02,0.264849
wholesale,KMeans,12,5.3012289657e+02,0.197308
wholesale,KMeans++,12,5.3925899376e+02,0.237648
wholesale,KMeans,13,5.2830289135e+02,0.213352
wholesale,KMeans++,13,5.2150568875e+02,0.260125
wholesale,KMeans,14,5.2134242322e+02,0.263255
wholesale,KMeans++,14,5.2133582534e+02,0.264115
wholesale,KMeans,15,5.2125096861e+02,0.258789
wholesale,KMeans++,15,5.2150568875e+02,0.260125
wholesale,KMeans,16,5.3528482607e+02,0.300943
wholesale,KMeans++,16,5.2938085509e+02,0.203129
wholesale,KMeans,17,5.3528482607e+02,0.300943
wholesale,KMeans++,17,5.2133786977e+02,0.264849
wholesale,KMeans,18,5.2133786977e+02,0.264849
wholesale,KMeans++,18,5.2938085509e+02,0.203129
wholesale,KMeans,19,5.2133786977e+02,0.264849
wholesale,KMeans++,19,5.2150698546e+02,0.267564
wholesale,KMeans,20,5.2123977040e+02,0.259708
wholesale,KMeans++,20,5.2926795555e+02,0.198567
wholesale,KMeans,21,5.2121692928e+02,0.260599
wholesale,KMeans++,21,5.3526995120e+02,0.297984
wholesale,KMeans,22,5.2938085509e+02,0.203129
wholesale,KMeans++,22,5.3236371198e+02,0.283428
