[cec2017 10D] 4260 tasks remaining (7830 done)
  200/4260 done, 0.2 min elapsed, ETA 4.3 min
  400/4260 done, 0.4 min elapsed, ETA 4.2 min
  600/4260 done, 0.7 min elapsed, ETA 4.5 min
  800/4260 done, 1.2 min elapsed, ETA 5.1 min
  1000/4260 done, 1.6 min elapsed, ETA 5.2 min
  1200/4260 done, 2.0 min elapsed, ETA 5.1 min
  1400/4260 done, 2.6 min elapsed, ETA 5.3 min
  1600/4260 done, 3.0 min elapsed, ETA 5.0 min
  1800/4260 done, 3.8 min elapsed, ETA 5.2 min
  2000/4260 done, 5.1 min elapsed, ETA 5.8 min
  2200/4260 done, 6.3 min elapsed, ETA 5.9 min
  2400/4260 done, 7.4 min elapsed, ETA 5.7 min
  2600/4260 done, 8.5 min elapsed, ETA 5.4 min
  2800/4260 done, 9.4 min elapsed, ETA 4.9 min
  3000/4260 done, 11.0 min elapsed, ETA 4.6 min
  3200/4260 done, 13.1 min elapsed, ETA 4.3 min
  3400/4260 done, 14.9 min elapsed, ETA 3.8 min
  3600/4260 done, 17.7 min elapsed, ETA 3.2 min
  3800/4260 done, 20.7 min elapsed, ETA 2.5 min
  4000/4260 done, 23.1 min elapsed, ETA 1.5 min
  4200/4260 done, 25.2 min elapsed, ETA 0.4 min
[cec2017 10D] complete.
[cec2017 30D] 11310 tasks remaining (0 done)
  200/11310 done, 0.6 min elapsed, ETA 34.6 min
  400/11310 done, 1.3 min elapsed, ETA 34.5 min
  600/11310 done, 2.0 min elapsed, ETA 35.0 min
  800/11310 done, 2.7 min elapsed, ETA 35.6 min
  1000/11310 done, 3.5 min elapsed, ETA 36.2 min
  1200/11310 done, 4.3 min elapsed, ETA 36.3 min
  1400/11310 done, 5.1 min elapsed, ETA 35.8 min
  1600/11310 done, 6.1 min elapsed, ETA 36.8 min
