[cec2022 10D] 4680 tasks remaining (0 done)
  200/4680 done, 0.2 min elapsed, ETA 4.4 min
  400/4680 done, 0.4 min elapsed, ETA 4.7 min
  600/4680 done, 0.7 min elapsed, ETA 4.5 min
  800/4680 done, 1.0 min elapsed, ETA 4.7 min
  1000/4680 done, 1.4 min elapsed, ETA 5.0 min
  1200/4680 done, 1.8 min elapsed, ETA 5.3 min
  1400/4680 done, 2.4 min elapsed, ETA 5.7 min
  1600/4680 done, 3.0 min elapsed, ETA 5.7 min
  1800/4680 done, 3.3 min elapsed, ETA 5.2 min
  2000/4680 done, 3.6 min elapsed, ETA 4.8 min
  2200/4680 done, 3.9 min elapsed, ETA 4.5 min
  2400/4680 done, 5.0 min elapsed, ETA 4.8 min
  2600/4680 done, 7.7 min elapsed, ETA 6.2 min
  2800/4680 done, 10.6 min elapsed, ETA 7.1 min
  3000/4680 done, 14.2 min elapsed, ETA 7.9 min
  3200/4680 done, 16.5 min elapsed, ETA 7.6 min
  3400/4680 done, 17.3 min elapsed, ETA 6.5 min
  3600/4680 done, 18.3 min elapsed, ETA 5.5 min
  3800/4680 done, 19.1 min elapsed, ETA 4.4 min
  4000/4680 done, 20.4 min elapsed, ETA 3.5 min
  4200/4680 done, 21.9 min elapsed, ETA 2.5 min
  4400/4680 done, 23.5 min elapsed, ETA 1.5 min
