e,coef,se,t,lo,hi,supt_lo,supt_hi
-5,0.004,0.0098,0.4113,-0.0152,0.0232,-0.0238,0.0318
-4,0.0063,0.0096,0.6633,-0.0124,0.0251,-0.0208,0.0335
-3,0.0088,0.0097,0.906,-0.0102,0.0277,-0.0187,0.0362
-2,0.0093,0.0093,1.0011,-0.0089,0.0274,-0.017,0.0356
0,0.0151,0.0091,1.6689,-0.0026,0.0329,-0.0106,0.0408
1,0.0299,0.009,3.3191,0.0122,0.0476,0.0043,0.0555
2,0.0345,0.0096,3.5971,0.0157,0.0533,0.0073,0.0617
3,0.0354,0.0104,3.4039,0.015,0.0557,0.0059,0.0649
4,0.0448,0.0122,3.6708,0.0209,0.0687,0.0101,0.0794
5,0.0388,0.0159,2.4477,0.0077,0.0699,-0.0062,0.0838
6,0.04,0.0209,1.9149,-0.0009,0.0809,-0.0193,0.0993
