e,coef,se,t,p,lo,hi
-5,-0.0055,0.0065,-0.8447,0.399,-0.0181,0.0072
-4,-0.0039,0.0069,-0.5724,0.5675,-0.0174,0.0095
-3,0.0034,0.0066,0.5174,0.6053,-0.0095,0.0162
-2,0.0074,0.0068,1.0935,0.2751,-0.0059,0.0207
-1,0.0,0.0,0.0,1.0,0.0,0.0
0,0.018,0.007,2.5752,0.0105,0.0043,0.0316
1,0.032,0.0065,4.9249,0.0,0.0193,0.0448
2,0.0396,0.0065,6.1371,0.0,0.027,0.0522
3,0.0351,0.0066,5.365,0.0,0.0223,0.048
4,0.0448,0.0079,5.6318,0.0,0.0292,0.0603
5,0.044,0.0088,5.0168,0.0,0.0268,0.0612
6,0.0479,0.011,4.3616,0.0,0.0264,0.0695
