year,I_tfp,z_tfp,p_tfp,star_tfp,I_aging,z_aging,p_aging,star_aging
2011,0.5487,4.8209,0.0,***,0.2788,2.59,0.0096,***
2012,0.5879,5.1451,0.0,***,0.3035,2.7941,0.0052,***
2013,0.5328,4.6893,0.0,***,0.3406,3.1006,0.0019,***
2014,0.5393,4.7434,0.0,***,0.3188,2.9209,0.0035,***
2015,0.5497,4.8295,0.0,***,0.3677,3.3246,0.0009,***
2016,0.5659,4.9632,0.0,***,0.3919,3.5246,0.0004,***
2017,0.5703,4.9998,0.0,***,0.3162,2.8987,0.0037,***
2018,0.5742,5.032,0.0,***,0.31,2.8477,0.0044,***
2019,0.5711,5.006,0.0,***,0.2863,2.6519,0.008,***
2020,0.5993,5.2391,0.0,***,0.2621,2.4517,0.0142,**
2021,0.5846,5.118,0.0,***,0.3118,2.8629,0.0042,***
2022,0.5881,5.1464,0.0,***,0.277,2.5748,0.01,**
2023,0.5795,5.0753,0.0,***,0.2588,2.4245,0.0153,**
