province,z,Wz,region
北京,0.9883956982481904,1.1086820814666196,0
天津,1.1732050776733098,1.0162773917540597,0
河北,1.0441590852599292,0.6848210757100133,0
山西,0.019275106786984686,-0.0750144007111179,1
内蒙古,-0.4040497506170023,-0.21666396312784708,2
辽宁,0.9588790047269493,-0.007538392705269459,0
吉林,-0.6627245127587352,-0.14383729405134402,1
黑龙江,-0.986341136263979,-0.5333871316878688,1
上海,1.8504107160557248,1.1317897261030254,0
江苏,1.5090658977016287,0.9463501783306068,0
浙江,0.7545135545044221,0.605928229975806,0
安徽,-0.5594683521109066,0.6211618554031759,1
福建,0.8645999996998375,0.23715348306322406,0
江西,-0.6349671114672549,0.2601466375346288,1
山东,1.7399447948731863,0.5779635572822817,0
河南,0.31809759827847556,0.1709937495953195,1
湖北,0.04031639852859765,-0.5440083630024711,1
湖南,-0.13099578156668293,-0.5889379857361229,1
广东,0.5919140061525051,-0.019766453932390127,0
广西,-1.1356630512532249,-0.6685284885347376,2
海南,0.9381936749253746,0.5919140061525051,0
重庆,-0.9984519953825839,-0.8334367051025334,2
四川,-1.421463445713932,-1.0094047327414588,2
贵州,-1.396776160994776,-1.0849660583292842,2
云南,-1.7382560177299962,-1.3179675526539776,2
陕西,-1.258264535765874,-0.4537625207084708,2
甘肃,-0.2660896049212528,-0.7135394814942875,2
青海,-0.39859008165427073,-0.5228958844075926,2
宁夏,-0.9177344726270532,-0.6428012971013763,2
新疆,0.1188653974124071,-0.3562431457308419,2
