year,dig,yqe
2012,0.11761166900447531,0.3735853441208616
2013,0.12958398959903755,0.39640993382922446
2014,0.13840735200088897,0.4120937834573286
2015,0.15497146606040726,0.4269830923616595
2016,0.16866602810742287,0.44800574612458566
2017,0.18519285593761345,0.4669956463259986
2018,0.20766633540294852,0.4920762468467273
2019,0.22060136940797126,0.5093082323399827
2020,0.24943451662265403,0.5218408351956222
2021,0.27464708991318304,0.551725913390523
2022,0.2984221020247003,0.5795175222016913
2023,0.3322193667376986,0.596145890094849
