变量	类别	人数	占比(%)
性别	1 男	174	43.5
性别	2 女	226	56.5
年级	1 本科三年级	65	16.2
年级	2 本科四年级	233	58.2
年级	3 硕士二年级	39	9.8
年级	4 硕士三年级	63	15.8
学科门类	1 人文社科	95	23.8
学科门类	2 理学与工学	112	28.0
学科门类	3 经济与管理	123	30.8
学科门类	4 医学	25	6.2
学科门类	5 艺术及其他	45	11.2
就读院校层次	1 “双一流”建设高校	55	13.8
就读院校层次	2 普通本科院校	280	70.0
就读院校层次	3 高职高专院校	65	16.2
是否独生子女	1 是	158	39.5
是否独生子女	0 否	242	60.5
生源地	1 城市	139	34.8
生源地	2 县城或城镇	154	38.5
生源地	3 农村	107	26.8
父母双方的最高学历	1 初中及以下	102	25.5
父母双方的最高学历	2 高中或中专	139	34.8
父母双方的最高学历	3 大专	84	21.0
父母双方的最高学历	4 本科	57	14.2
父母双方的最高学历	5 硕士及以上	18	4.5
家庭月收入（元）	1 5000 以下	79	19.8
家庭月收入（元）	2 5000–9999	132	33.0
家庭月收入（元）	3 10000–19999	121	30.2
家庭月收入（元）	4 20000–29999	47	11.8
家庭月收入（元）	5 30000 及以上	21	5.2
实习经历	0 没有	114	28.5
实习经历	1 有，累计不足 3 个月	174	43.5
实习经历	2 有，累计 3 个月及以上	112	28.0
目前的求职状态	1 尚未开始	51	12.8
目前的求职状态	2 正在投递	127	31.8
目前的求职状态	3 已参加面试	119	29.8
目前的求职状态	4 已获得录用意向	60	15.0
目前的求职状态	5 已签约或已确定升学	43	10.8
