firm_id,year,YEMP,AI,L_AI,BMI,SKILL,DEO,ESG,GOV,Age,Size,Lev,RoA,Cash,Growth,Top10,Board,Separation,SOE,lngdp
1,2011,0.2228,2.9203,,0.4887,0.642,0.332,4,0,2.4286,23.0703,0.1657,-0.0466,-0.023,0.0326,0.5292,2.2865,1,0,11.3244
1,2012,0.0062,0.4373,2.9203,0.358,0.3696,0.3811,5,0,2.9329,22.4064,0.4026,0.0642,0.0162,-0.573,0.6547,2.0773,0,0,11.483
1,2013,0.4294,1.7108,0.4373,0.3567,0.4446,0.0,6,1,1.804,20.4939,0.2527,0.0708,0.1384,0.0427,0.7409,2.1673,1,0,11.1401
1,2014,0.1175,1.4797,1.7108,0.2129,0.412,0.2352,4,0,3.087,20.8109,0.3583,0.1634,0.0859,-0.573,0.3269,2.0106,0,1,9.955
1,2015,0.0,2.0274,1.4797,0.1863,0.7317,0.1367,4,0,2.1583,20.2608,0.6248,0.0212,-0.0619,0.34,0.7373,2.2145,0,0,11.6997
1,2016,0.2889,1.0788,2.0274,0.0522,0.2962,0.3397,5,0,2.7011,21.9593,0.5773,0.0548,-0.0366,-0.2574,0.6739,1.8899,0,1,10.4996
1,2017,0.2906,0.7319,1.0788,0.063,0.2002,0.0978,3,1,0.2885,22.4923,0.5932,0.0339,-0.0004,0.3908,0.4722,2.1805,1,0,11.1262
1,2018,0.519,1.2921,0.7319,0.1606,0.4512,0.3147,2,1,0.3886,22.3909,0.4269,-0.0769,0.0504,-0.4632,0.5616,2.1707,0,0,11.2579
2,2011,0.23,3.4086,,0.5009,0.4954,0.0019,4,0,1.9221,24.8986,0.6589,0.0786,0.0113,0.8017,0.5074,2.0539,0,0,9.4914
2,2012,0.0947,1.6231,3.4086,0.0127,0.4586,0.2271,4,0,3.5113,22.5164,0.3679,0.0477,-0.0492,0.8709,0.5196,2.0321,0,0,11.4247
2,2013,0.4308,1.478,1.6231,0.3504,0.4248,0.219,4,0,1.4331,22.1491,0.4186,0.0966,-0.1074,1.0262,0.3423,1.9859,1,0,10.5092
2,2014,0.4758,2.2308,1.478,0.6113,0.5128,0.7998,7,0,1.3374,19.8501,0.6156,0.1277,0.0685,0.3346,0.4336,2.4894,0,0,11.2217
2,2015,0.2959,0.1756,2.2308,0.0,0.1802,0.0,4,0,1.7705,21.8617,0.3862,-0.0516,0.0062,0.3291,0.7446,2.6877,1,1,10.8007
2,2016,0.4166,1.9202,0.1756,0.2348,0.6235,0.2235,4,1,3.46,24.0003,0.5673,0.0082,0.1431,0.3571,0.2845,2.0125,0,0,9.6369
