ref_no,authors,title,journal_abbrev,year,volume,issue,pages,doi
1,"Ogbonna, A.E.; Adediran, I.A.; Oloko, T.F.; Isah, K.O.",Information and Communication Technology (ICT) and youth unemployment in Africa,Qual. Quant.,2023,57,6,5055–5077,10.1007/s11135-022-01600-9
2,"Azu, N.P.; Jelivov, G.; Aras, O.N.; Işik, A.",Influence of digital economy on youth unemployment in West Africa,Transnatl. Corp. Rev.,2021,13,1,32–42,10.1080/19186444.2020.1849936
3,"Başol, O.; Sevgi, H.; Yalçın, E.C.",The Effect of Digitalization on Youth Unemployment for EU Countries: Treat or Threat?,Sustainability,2023,15,14,11080,10.3390/su151411080
4,"Acemoglu, D.; Restrepo, P.",Automation and New Tasks: How Technology Displaces and Reinstates Labor,J. Econ. Perspect.,2019,33,2,3–30,10.1257/jep.33.2.3
5,"Acemoglu, D.; Restrepo, P.","Tasks, Automation, and the Rise in U.S. Wage Inequality",Econometrica,2022,90,5,1973–2016,10.3982/ECTA19815
6,"Huo, Q.; Ruan, J.; Cui, Y.","""Machine replacement"" or ""job creation"": How does artificial intelligence impact employment patterns in China's manufacturing industry?",Front. Artif. Intell.,2024,7,,1337264,10.3389/frai.2024.1337264
7,"Lábaj, M.; Oleš, T.; Procházka, G.",Impact of Robots and Artificial Intelligence on Labor and Skill Demand: Evidence from the UK,Eurasian Bus. Rev.,2025,15,4,953–1001,10.1007/s40821-025-00314-w
8,"Frey, C.B.; Osborne, M.A.",The future of employment: How susceptible are jobs to computerisation?,Technol. Forecast. Soc. Change,2017,114,,254–280,10.1016/j.techfore.2016.08.019
9,"Rammer, C.; Fernández, G.P.; Czarnitzki, D.",Artificial intelligence and industrial innovation: Evidence from German firm-level data,Res. Policy,2022,51,,104555,10.1016/j.respol.2022.104555
10,"Xie, M.; Ding, L.; Xia, Y.; Guo, J.; Pan, J.; Wang, H.",Does artificial intelligence affect the pattern of skill demand? Evidence from Chinese manufacturing firms,Econ. Model.,2021,96,,295–309,10.1016/j.econmod.2021.01.009
