Variables,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
(1) YEMP,1.000,,,,,,,,,
(2) AI,0.142 ***,1.000,,,,,,,,
(3) BMI,0.106 ***,0.318 ***,1.000,,,,,,,
(4) SKILL,0.221 ***,0.264 ***,0.187 ***,1.000,,,,,,
(5) Age,−0.174 ***,0.041 ***,0.028 ***,−0.052 ***,1.000,,,,,
(6) Size,−0.061 ***,0.196 ***,0.132 ***,0.088 ***,0.207 ***,1.000,,,,
(7) Lev,−0.089 ***,0.014 **,−0.007,−0.121 ***,0.163 ***,0.402 ***,1.000,,,
(8) RoA,0.077 ***,0.031 ***,0.045 ***,0.086 ***,−0.048 ***,−0.021 ***,−0.372 ***,1.000,,
(9) Top10,0.018 ***,0.026 ***,0.019 ***,0.037 ***,−0.096 ***,0.221 ***,0.058 ***,0.108 ***,1.000,
(10) SOE,−0.148 ***,−0.062 ***,−0.041 ***,−0.113 ***,0.243 ***,0.286 ***,0.201 ***,−0.079 ***,0.234 ***,1.000
