Variables,(1) / YEMP,(2) / YEMP,(3) / YEMP,(4) / YEMP,(5) / YEMP,(6) / YEMP
L.AI,0.0156 *** (0.0041),0.0147 *** (0.0042),0.0151 *** (0.0040),0.0142 *** (0.0043),,
AI,,,,,0.0149 *** (0.0042),0.0139 *** (0.0043)
Age,,−0.0271 *** (0.0052),,−0.0258 *** (0.0053),,−0.0269 *** (0.0052)
Size,,−0.0116 *** (0.0031),,−0.0108 *** (0.0032),,−0.0114 *** (0.0031)
Lev,,−0.0224 ** (0.0101),,−0.0211 ** (0.0103),,−0.0219 ** (0.0102)
RoA,,0.0873 *** (0.0261),,0.0851 *** (0.0266),,0.0866 *** (0.0262)
Top10,,0.0142 (0.0121),,0.0138 (0.0123),,0.0140 (0.0122)
SOE,,−0.0187 *** (0.0058),,−0.0179 *** (0.0059),,−0.0184 *** (0.0058)
lngdp,,0.0093 * (0.0051),,0.0088 * (0.0052),,0.0091 * (0.0051)
Constant,0.301 *** (0.004),0.548 *** (0.083),0.303 *** (0.005),0.531 *** (0.086),0.302 *** (0.004),0.542 *** (0.084)
Firm FE,Yes,Yes,Yes,Yes,Yes,Yes
Year FE,Yes,Yes,No,No,Yes,Yes
Industry × Year FE,No,No,Yes,Yes,No,No
Observations,"28,974","28,974","28,974","28,974","26,132","26,132"
R-squared,0.021,0.087,0.024,0.093,0.019,0.084
F,14.63,31.28,11.02,22.71,13.87,29.44
