Variables,(1) / Pre-Match YEMP,(2) / Post-Match YEMP
AI_dummy,0.0128 * (0.0069),0.0161 ** (0.0072)
Age,−0.0264 *** (0.0053),−0.0249 *** (0.0057)
Size,−0.0112 *** (0.0032),−0.0104 *** (0.0035)
Lev,−0.0219 ** (0.0103),−0.0207 * (0.0111)
RoA,0.0861 *** (0.0264),0.0839 *** (0.0283)
Top10,0.0139 (0.0122),0.0133 (0.0131)
SOE,−0.0183 *** (0.0058),−0.0175 *** (0.0063)
lngdp,0.0090 * (0.0051),0.0085 (0.0055)
Constant,0.539 *** (0.084),0.518 *** (0.091)
Firm FE,Yes,Yes
Year FE,Yes,Yes
Observations,"28,974","23,486"
R-squared,0.086,0.108
F,30.94,25.61
