combo,NER_T,DUR_T,dNER
P5 Threshold moderation x2,0.19307232971611782,1.2355721081027122,-0.3242260240996872
P3 Expectation guidance + P5 Threshold moderation,0.27424367205146255,2.341470372058221,-0.24305468176434247
P2 Matching efficiency + P5 Threshold moderation,0.29121606974501996,2.554906251560819,-0.22608228407078507
P4 Vacancy creation + P5 Threshold moderation,0.30544910170703743,2.751042205192836,-0.2118492521087676
P1 Skill upgrading + P5 Threshold moderation,0.3128534854607548,2.8467954052715605,-0.2044448683550502
P2 Matching efficiency + P3 Expectation guidance,0.45833788983786056,6.7967755779795365,-0.058960463977944466
P3 Expectation guidance x2,0.46068562687757,6.97199651692441,-0.05661272693823505
P2 Matching efficiency x2,0.4669049855607209,6.937766568399661,-0.050393368255084114
P3 Expectation guidance + P4 Vacancy creation,0.4759771397617058,7.355356435145396,-0.04132121405409922
P1 Skill upgrading + P3 Expectation guidance,0.4805506228115957,7.477490748826321,-0.036747731004209305
P2 Matching efficiency + P4 Vacancy creation,0.48078076396239783,7.382898236966058,-0.036517589853407195
P1 Skill upgrading + P2 Matching efficiency,0.48650014729554014,7.539946715974311,-0.03079820652026488
P4 Vacancy creation x2,0.49880203549218655,7.9950060625526405,-0.018496318323618477
P1 Skill upgrading + P4 Vacancy creation,0.504036358943312,8.147514025281959,-0.013261994872493021
P1 Skill upgrading x2,0.5097821361350569,8.321664665433595,-0.007516217680748172
