param,label,coef,se,z,p,odds_ratio,ci_lo,ci_hi
kappa,Threshold sensitivity to digitalisation,13.124590265382535,0.9963552552437198,13.172601033927513,1.2617465811161726e-39,501114.6846673996,71094.82649052917,3532126.591838008
eps_pw,Probability-weighting curvature,-7.045751714461228,0.5503876784511349,-12.801434316787256,1.6095068697930582e-37,0.0008711017968008329,0.00029619523547486586,0.0025618857074898166
kappa2,Endogenous threshold escalation,4.560266499617206,0.3693432780071532,12.34695951209077,5.05873813685686e-35,95.60895618542088,46.35675298141454,197.1896631010931
gPhi,Graduate cohort growth,4.460687500562384,0.3634066973186925,12.274643074754747,1.2393715450779272e-34,86.54698975162142,42.45409871648398,176.4348239987231
zeta,Aspiration anchoring weight,3.9050554315061663,0.32555192657502613,11.9951845242919,3.765769939754382e-33,49.652832167168064,26.232140099692522,93.98408718661341
Pi,Perceived value of a public post,2.9571686561244954,0.2665165561958055,11.09562834795115,1.31731017915739e-28,19.243409839586054,11.41360203023541,32.44451850286212
mu,Matching efficiency,-2.6154370837710825,0.24014875323142332,-10.890904277361262,1.2736923636386455e-27,0.07313581523102756,0.04567884534284783,0.11709681865556391
deltaH,Skill decay while searching,1.7996961765545265,0.19942040980721082,9.024633829076866,1.802973250176513e-19,6.047809718865637,4.091204213919309,8.940155632213338
phi,Vacancy elasticity to digitalisation,-1.0567578554976347,0.1634612611819063,-6.464882552947098,1.0137751600826969e-10,0.34758089298557926,0.25230009664440617,0.47884435549355653
tau,Training intensity,-0.6157511636234485,0.15207523815617252,-4.048990296441999,5.143907726401543e-05,0.5402349380246724,0.4009922601032903,0.7278289815053884
lam,Aspiration adjustment speed,-0.4836529837627814,0.14958457776008108,-3.233307811574754,0.0012236563887953263,0.6165271097131589,0.45985991484916217,0.8265684064590394
chi,Skill retention while queueing,-0.47325733556395827,0.14805902207613064,-3.196409978451793,0.0013914923979384645,0.6229697382799352,0.46605683609743714,0.8327123748731663
