param,label,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
kappa,Threshold sensitivity to digitalisation,0.4414701061859861,0.3143398601488228,0.5811663117381328,0.5291405382794248,0.4700583861745778,0.5987540131691682
kappa2,Endogenous threshold escalation,0.14282495558857994,0.06611545453734646,0.22590944727303514,0.20914681991384118,0.1827671321518856,0.23968397724225776
zeta,Aspiration anchoring weight,0.07906487063847055,0.03017335383595435,0.1271679253618241,0.09980307222828022,0.08591584665589858,0.11705735830390054
eps_pw,Probability-weighting curvature,0.07419131334517384,0.029054038369577005,0.11657520838019246,0.0937952452302367,0.08030464191750153,0.10796212902983
gPhi,Graduate cohort growth,0.06653129264387686,0.02212953185402957,0.11254005250356137,0.08790095840906059,0.07669009795668583,0.10003209725141986
mu,Matching efficiency,0.030127346724265834,-0.004077801732365326,0.06921992030706857,0.06367329421053457,0.05468834543283863,0.07362013181494112
deltaH,Skill decay while searching,0.025125812174738475,-0.004760749215759077,0.055238020465482277,0.035865388302258674,0.029190194691697733,0.04341462969443356
Pi,Perceived value of a public post,0.020436738214585755,-0.0034078518600685307,0.04793329029916037,0.029479365115973204,0.02565579134188873,0.033779459414956574
chi,Skill retention while queueing,0.007073658033115804,-0.002969355758451575,0.018047588131124354,0.005054064771322291,0.00393206195453524,0.006419085709780101
phi,Vacancy elasticity to digitalisation,0.0005672892724334028,-0.005864933258214576,0.0071577962669796625,0.00202287262566174,0.0017466080162586743,0.0023490489741497048
tau,Training intensity,0.00042902669752103393,-0.005490738709034769,0.006685537502181335,0.0018763396873364934,0.0015398241808518328,0.002236615441092528
lam,Aspiration adjustment speed,0.0011451980108461316,-0.00404745329108886,0.006373166172480423,0.0013580952497173882,0.0011149610214259086,0.0016200032949434963
