param,label,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
kappa,Threshold sensitivity to digitalisation,0.35654706491402427,0.20433827934365667,0.5131155602199844,0.3584678247914365,0.32787945962283055,0.39025872742551976
eps_pw,Probability-weighting curvature,0.14562132466960062,0.0343659163847987,0.2625857393252615,0.18371776265967643,0.16503132926695882,0.20465747703712997
gPhi,Graduate cohort growth,0.11347531059487016,0.02402687093665381,0.20318724789413475,0.1322788584370223,0.11964212082709058,0.14528264042678368
zeta,Aspiration anchoring weight,0.11270207242231346,0.019762121659621865,0.1991108440903918,0.11829137752080268,0.10589346186257269,0.13088273169732412
kappa2,Endogenous threshold escalation,0.1008995589464419,0.021688940907208062,0.1963263093909986,0.11581798735658971,0.10316931139614625,0.12932566596559725
Pi,Perceived value of a public post,0.04944726884065494,-0.015137970877872648,0.1166081920126682,0.06574347617870877,0.05711745619858599,0.07474219664552478
mu,Matching efficiency,0.0437862992039069,-0.014402399486294397,0.10175326720981842,0.049064985217345036,0.04436273479512159,0.05442831750208264
deltaH,Skill decay while searching,0.026210256884675157,-0.010375820344507472,0.06348684139792593,0.022129615769304212,0.019304726833328307,0.02545381687263897
chi,Skill retention while queueing,0.005120041313648819,-0.010708450103636887,0.01953555500955272,0.0031271613231089544,0.0027168404973927033,0.0036526601827212863
phi,Vacancy elasticity to digitalisation,0.000947095955516005,-0.009912041544244698,0.011646459179430333,0.0019647082568695945,0.0017585306173185597,0.0021805638012942783
lam,Aspiration adjustment speed,0.000369937136279184,-0.009139424415406305,0.011126866576015094,0.0017417103352965623,0.0015038122006792475,0.002003400754924944
tau,Training intensity,0.00164440679500347,-0.006775925673107258,0.010298677694574572,0.0011536919625899302,0.0010041473842494503,0.001325589560767717
